name,rating,genre,release_date,actor,overview
The Social Dilemma,74.94,"Documentary, Drama",2020,Skyler Gisondo,"
This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.
"
Dual,59.55,"Science Fiction, Comedy, Drama",2022,Karen Gillan,"
A terminally ill woman opts for a cloning procedure to ease her loss on her friends and family. When she makes a miraculous recovery, her attempts to have her clone decommissioned fail and lead to a court-mandated duel to the death.
"
The Haunting in Connecticut,61.81,"Thriller, Horror",2009,Virginia Madsen,"
When the Campbell family moves to upstate Connecticut, they soon learn that their charming Victorian home has a disturbing history: not only was the house a transformed funeral parlor where inconceivable acts occurred, but the owner's clairvoyant son Jonah served as a demonic messenger, providing a gateway for spiritual entities to crossover.
"
Femme Fatale,62.03,"Mystery, Crime, Thriller",2002,Rebecca Romijn,"
A $10-million diamond rip-off, a stolen identity, a new life married to a diplomat. Laure Ash has risked big, won big. But then a tabloid shutterbug snaps her picture in Paris, and suddenly, enemies from Laure's secret past know who and where she is. And they all want their share of the diamond heist. Or her life. Or both.
"
Fright Night,62.18,"Horror, Comedy",2011,Anton Yelchin,"
A teenager suspects his new neighbour is a vampire. Unable to convince anyone, he tries to enlist the help of a self-proclaimed vampire hunter and magician.
"
Scooby-Doo! and the Legend of the Vampire,71.72,"Family, Animation, Comedy, Fantasy, Music, Mystery",2003,Frank Welker,"
The Yowie Yahoo starts kidnapping musicians at a concert attended by Scooby and the gang in Vampire Rock, Australia.
"
The Swan,68.65,,2023,Rupert Friend,"
Two large, ignorant bullies ruthlessly pursue a small, brilliant boy in this young adult Roald Dahl short story.
"
Bobby Charlton – Legend,0.0,Documentary,2023,Bobby Charlton,"
Bobby Charlton was England's most successful football player and greatest ever sportsman. The star of the 1966 World Cup winning team, the captain of the first English team to win the European Cup, a truly great ambassador for the sport. He died in October 2023 and was universally lauded. Features highlights from his life via the Munich air tragedy to becoming a genuine global legend.
"
High Sierra,69.91,"Crime, Drama",1941,Humphrey Bogart,"
Given a pardon from jail, Roy Earle gets back into the swing of things as he robs a swanky resort.
"
Dave,66.61,Comedy,1993,Kevin Kline,"
A sweet-natured Temp Agency operator and amateur Presidential look-alike is recruited by the Secret Service to become a temporary stand-in for the President of the United States.
"
Flow Calle,47.86,Music,2022,Marta González Rodin,"
An urban music singer from a poor neighborhood goes through love and pain on her way to success.
"
True Story,62.69,"Crime, Drama, History",2015,Jonah Hill,"
A drama centered around the relationship between journalist Michael Finkel and Christian Longo, an FBI Most Wanted List murderer who for years lived outside the U.S. under Finkel's name.
"
Space Buddies,57.17,"Comedy, Adventure, Drama, Family",2009,Josh Flitter,"
B-Dawg, Mudbud, Budderball, and all the rest of the Buddies are back, but this time, they're setting their sights even higher -- as in, the moon! With the help of their new pals Spudnick (voiced by Jason Earles) and Gravity, these pooches are go for launch. But to pull off their moon landing and make it home safely, our canine heroes will have to summon all their bravery and imagination...
"
Addicted,57.94,"Drama, Thriller",2014,Boris Kodjoe,"
A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.
"
23 – Der mysteriöse Tod eines Hackers,0.0,,2023,Karl Koch,"
We don't have an overview translated in English. Help us expand our database by adding one.
"
The Guilty,64.07,"Drama, Thriller",2021,Jake Gyllenhaal,"
A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.
"
Doraemon: Nobita's Sky Utopia,69.0,"Animation, Adventure, Science Fiction",2023,Wasabi Mizuta,"
Doraemon, Nobita and his friends go to find Utopia, a perfect land in the sky where everyone lives with happiness, using an airship having a time warp function.
"
3 Ninjas Knuckle Up,51.0,"Family, Adventure, Action, Comedy",1995,Victor Wong,"
Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joe's father and find a secret disk that contains evidence that could stop the toxic landfill that is destroying the Indian community. However the town is owned by the rich man and he controls the police and even the mayor. They must fight a motorcycle gang and renegade cowboys in this non-stop ninja adventure.
"
Senseless,61.39,"Comedy, Romance",1998,Marlon Wayans,"
A student gets his senses enhanced by an experimental drug. But abuse is not an option.
"
Chick Fight,58.0,"Action, Comedy",2020,Malin Åkerman,"
When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.
"
Stepmom 2019,62.5,,2019,Sin Seong-hoon,"
Young-chul moves to his wife's mansion. One day, Young-chul's stepmom comes to find the hidden videotape in the mansion. Yeong-cheol finds out that these tapes are just sex videos! Using this, she implements a secret plan to spend a hot night with her stepmother, who has been dreaming since childhood.
"
Invincible,69.81,"Drama, History",2006,Mark Wahlberg,"
Inspired by the true story of Vince Papale, a man with nothing to lose who ignored the staggering odds and made his dream come true. When the coach of Papale's beloved hometown football team hosted an unprecedented open tryout, the public consensus was that it was a waste of time – no one good enough to play professional football was going to be found this way.
"
Kaiji 2: The Ultimate Gambler,66.0,"Drama, Mystery",2011,Tatsuya Fujiwara,"
3 years after the ultimate life-or-death game with Teiai Group, Kaiji was entrapped by Teiai and again back in the underground, forced to do hard labour. One day, Kaiji wins a bet to get out of the underground with 1 million yen, and promises the other workers that he will save them. But to do so, he only has 14 days and needs 200 million yen! Kaiji meets his former rival Tonegawa and learns that there is a chance to turn the tables in the game. It was a monster casino machine that will make 1 billion yen if you win...
"
Night of the Living Dead,68.52000000000001,Horror,1990,Tony Todd,"
In this remake of the classic 1968 film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.
"
Detective Conan: The Darkest Nightmare,68.0,"Adventure, Mystery, Animation",2016,Minami Takayama,"
On a dark night, the Japanese police is raided by a spy. Different countries' intelligence agencies - such as England's MI6, Germany's BDN, and America's CIA - as well as the FBI's secret files are going to be taken, but public safety officers lead by Tooru Amuro arrive just in time. The spy steals a car and escapes. The spy and Amuro are then locked in a dead heat on the highway, and just as it is about to cause an accident with multiple cars, the spy's car is hit by FBI agent Shuichi Akai's rifle bullet and falls of the roadway. The next day, Conan and his friends go to a newly-remodeled aquarium in Tokyo. Under the main attraction, a Ferris wheel, Conan finds an attractive woman alone and injured. Her left and right eyes are different colors.
"
Antiporno,67.64999999999999,"Drama, Mystery",2017,Ami Tomite,"
Young artist Kyoko wreaks havoc on everyone that she encounters when Japan's oldest major movie studio asks a batch of venerable filmmakers to revive its high-brow soft-core Roman Porno series.
"
The Master,71.56,Drama,2012,Joaquin Phoenix,"
Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.
"
Pirates of the Caribbean: Tales of the Code: Wedlocked,67.14,"Adventure, Action,",2011,John Vickery,"
Wenches Scarlett and Giselle fix each other up for their wedding, in which they would each marry their groom. Upon realizing that both their grooms were the same man, Jack Sparrow, the two wenches found themselves in an auction led by the Auctioneer. This short film serves as a prequel to The Curse of the Black Pearl, and explains just why Jack Sparrow's boat the Jolly Mon was seen sinking at the beginning of the whole story; why the wenches were so upset with him; and how Cotton lost his tongue.
"
Sophie's Choice,73.0,"Drama, Romance, War",1982,Meryl Streep,"
Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.
"
The French Connection,75.38,"Action, Crime, Thriller",1971,Gene Hackman,"
Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.
"
The Substitute,68.85,Action,1996,Tom Berenger,"
When an inner-city Miami schoolteacher gets her knee broken after standing up to the school's gang leader, her mercenary combat specialist boyfriend goes undercover as a substitute teacher to take down the punk. Soon he discovers a conspiracy of criminals at work, and must reassemble his team from his last jungle raid to stop them.
"
Ironclad,61.43,"Romance, Adventure, Action, History",2011,James Purefoy,"
In the year 1215, the rebel barons of England have forced their despised King John to put his royal seal on the Magna Carta, a seminal document that upheld the rights of free men. Yet within months of pledging himself to the great charter, the King reneged on his word and assembled a mercenary army on the south coast of England with the intention of bringing the barons and the country back under his tyrannical rule. Barring his way stood the mighty Rochester castle, a place that would become the symbol of the rebel's momentous struggle for justice and freedom.
"
Milk,73.0,"History, Drama",2008,Sean Penn,"
The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans.
"
Mr. Right,64.74000000000001,"Comedy, Action, Romance, Crime",2016,Sam Rockwell,"
A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.
"
Solaris,58.9,"Drama, Science Fiction, Mystery",2002,George Clooney,"
A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.
"
Hot Seat,53.0,Thriller,2022,Kevin Dillon,"
An ex-hacker is forced to break into high-level banking institutions, another man must try to penetrate the booby-trapped building to get the young man off the hot seat.
"
Dogma,69.11,"Fantasy, Comedy, Adventure",1999,Ben Affleck,"
The latest battle in the eternal war between Good and Evil has come to New Jersey in the late, late 20th Century. Angels, demons, apostles and prophets (of a sort) walk among the cynics and innocents of America and duke it out for the fate of humankind.
"
Pokémon: Destiny Deoxys,66.23,"Family, Adventure, Animation, Fantasy",2004,Rica Matsumoto,"
Deoxys, a Pokémon from outer space, terrorizes the high-tech city Ash Ketchum and his friends are visiting.
"
The Full Monty,69.84,Comedy,1997,Robert Carlyle,"
Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.
"
The Independent,70.0,"Thriller, Drama",2022,Jodie Turner-Smith,"
It's the final weeks of the most consequential presidential election in history. America is poised to elect either its first female president or its first viable independent candidate. Reporting history as it's made, an idealistic young journalist teams up with her idol, legendary journalist Nick Booker, to uncover a conspiracy that places the fate of the election, and the country, in their hands.
"
Adventures in Babysitting,68.61,Comedy,1987,Elisabeth Shue,"
When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.
"
Twitches,68.0,"Comedy, Drama, Family, Fantasy, TV Movie",2005,Tia Mowry,"
Twins separated at birth, Camryn and Alex meet by chance for the first time on their 21st birthday and discover they're witches with the power to save their homeland of Coventry from the evil that threatens it. But when Camryn leaves Alex to face the darkness alone, will Coventry be doomed? Or will the sisters multiply their magic by standing together?
"
Marked for Death,60.77,"Action, Crime",1990,Steven Seagal,"
Just retired from the Drug Enforcement Agency, John Hatcher returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses paths with a ferocious Jamaican drug lord who vows that Hatcher and his family are now marked for death.
"
Cold Skin,62.0,"Horror, Fantasy, Drama",2017,Ray Stevenson,"
A young man who arrives at a remote island finds himself trapped in a battle for his life.
"
Brute,0.0,,2023,Ollie Hiemann,"
A man has a breakdown after losing his job and winning a bar fight.
"
Girls Trip,68.45,Comedy,2017,Regina Hall,"
Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.
"
The Devil's Own,61.54,"Crime, Thriller, Drama",1997,Harrison Ford,"
Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.
"
Body of Evidence,49.55,"Drama, Thriller, Romance",1993,Madonna,"
When an elderly millionaire is found dead with cocaine in his system, his will leaves $8 million to Rebecca Carlson, who was having an affair with him. District attorney Robert Garrett decides to prosecute Rebecca, arguing that she deliberately engaged in wild sex with the old man to overexcite him and lead to his premature death. Defense attorney Frank Dulaney defends Rebecca in court while getting sucked into a dangerous affair with her.
"
I Spit on Your Grave: Déjà Vu,29.11,"Horror, Thriller",2019,Camille Keaton,"
Following her rape, Jennifer Hills wrote a bestselling account of her ordeal and of the controversial trial in which she was accused of taking the law into her own hands and brutally killing her assailants. In the small town where the rape and revenge took place, the relatives of the rapists she killed are furious that the court declared her not guilty and resolve to take justice into their own hands.
"
The Forest,52.18,"Horror, Thriller, Mystery",2016,Natalie Dormer,"
Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.
"
The Land Before Time V: The Mysterious Island,61.54,"Animation, Family, Adventure",1997,John Ingle,"
Littlefoot and his friends the gang in their next when a swarm of leaf gobblers had destroyed their homes and this forces them to find a new home but yet find an mysterious island.
"
"Alice, Darling",59.19,"Thriller, Drama",2022,Anna Kendrick,"
A young woman trapped in an abusive relationship becomes an unwitting participant in an intervention staged by her two closest friends.
"
The English Patient,71.72,"Drama, Romance, War",1996,Ralph Fiennes,"
In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.
"
Sisters,59.44,Comedy,2015,Amy Poehler,"
Two disconnected sisters are summoned to clean out their childhood bedrooms before their parents sell their family home.
"
Rumah Masa Depan,0.0,Drama,2023,Laura Basuki,"
Sukri and Surti had to return to Cibeureum because Sukri's father died. However, after the funeral, Sukri's family could not immediately return to Jakarta, because his mother was involved in a criminal case. Meanwhile, their two children, Bayu and Gerhana, are starting to feel comfortable because they have met extraordinary new friends, Cempaka and Sangaji, go on an adventure to help solve the family's problems in an unexpected way. The sense of family is tested in the face of challenging situations.
"
Batman: Soul of the Dragon,67.67,"Animation, Action, Adventure, Crime, Fantasy",2021,David Giuntoli,"
Bruce Wayne faces a deadly menace from his past, with the help of three former classmates: world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva.
"
EP/Executive Protection,24.17,,2016,Olivier Gruner,"
First as Special Forces and then as a part of the elite world of Executive Protection, Max Webber has dedicated his life and career to protecting others. Working for one of the richest men in the world, Max finds himself embroiled in a conspiracy of betrayal that has spanned the globe and threatens to cost him everything.
"
David Holmes: The Boy Who Lived,70.71,Documentary,2023,David Holmes,"
As Daniel Radcliffe’s stunt double in the Harry Potter films, David Holmes’ work has been seen worldwide by millions of people. Tragically an on-set accident ended what David calls “the best job in the world,” leaving him paralyzed and confined to a wheelchair. Like the on-screen character he helped bring to life, David is determined to continue seeking adventure and living life to the fullest despite mounting obstacles.
"
On the Waterfront,79.41,"Crime, Drama, Romance",1954,Marlon Brando,"
A dim-witted yet kind-hearted boxer, Terry Malloy, who failed to succeed unintentionally lures a man to his death after being tricked by a criminal called Johnny Friendly whose men pick of every man who has the courage to speak up to their crimes. As he works on the waterfronts that Friendly owns, he is sent to a church meeting run by a good preacher about how to deal with the problem and runs into the dead man’s sister. Slowly, he falls in love with her and begins to feel guilt about his crime.
"
Crazy Safari,48.37,Fantasy,1991,N!xau,"
Two guys, one of them a magician, are transporting an ancient chinese vampire who can only be controlled by a series of yellow tapes, and is the ancestor of the other guy. On the way, while flying over Africa, their plane stalls. And of all places, where do they land? That's right, in the village of the tribe of ""The Gods Must Be Crazy"".
"
The Babysitter,52.0,"Drama, Thriller",1995,Alicia Silverstone,"
Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.
"
Overboard,68.31,"Comedy, Romance",1987,Goldie Hawn,"
Heiress Joanna Stayton hires carpenter Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when it's done. But after Joanna accidentally falls overboard and loses her memory, Dean sees an opportunity to get even.
"
Minuscule: Valley of the Lost Ants,69.7,"Animation, Adventure, Family",2013,John DeCantis,"
In a peaceful little clearing, the remains of a hastily abandoned picnic sparks a battle between two tribes of ants. A bold young ladybug finds himself caught in the middle. He befriends the leader of the black ants, Mandible, and helps him save the anthill from the assault of the terrible red ant warriors, led by the fearful Butor. A fantastic journey at ground level.
"
Working Girl,66.0,"Comedy, Romance, Drama",1988,Melanie Griffith,"
Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good.
"
The Beautician and the Beast,67.9,"Comedy, Romance",1997,Timothy Dalton,"
A New York City beautician is mistakenly hired as the school teacher for the children of the president of a small Eastern European country.
"
Marvel Rising: Chasing Ghosts,70.0,"Family, Animation, Action,",2019,Dee Bradley Baker,"
Hot on the trails of Sheath and Exile, Ghost-Spider teams up with the rest of the Secret Warriors to bring down the villains for good.
"
Mr. Harrigan's Phone,64.53999999999999,"Drama, Thriller, Horror, Mystery",2022,Donald Sutherland,"
Craig, a young boy living in a small town befriends an older, reclusive billionaire, Mr. Harrigan. The two form a bond over books and an iPhone, but when the man passes away the boy discovers that not everything dead is gone.
"
Damage,66.0,"Drama, Romance",1992,Jeremy Irons,"
The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.
"
The Iron Claw,0.0,Drama,2023,Zac Efron,"
The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports.
"
Fruitvale Station,74.0,Drama,2013,Michael B. Jordan,"
Oakland, California. Young Afro-American Oscar Grant crosses paths with family members, friends, enemies and strangers before facing his fate on the platform at Fruitvale Station, in the early morning hours of New Year's Day 2009.
"
Marvel Rising: Battle of the Bands,68.0,"Animation, Action, Comedy, Science",2019,Dove Cameron,"
On the day of Gwen’s “Battle of the Bands” competition, mysterious attacks force her and the Secret Warriors to investigate. Can they save the city and get Gwen to the concert on time?
"
The Salvation,64.46,"Drama, Western",2014,Mads Mikkelsen,"
In 1870s America, a peaceful American settler kills his family's murderer which unleashes the fury of a notorious gang leader. His cowardly fellow townspeople then betray him, forcing him to hunt down the outlaws alone.
"
A Simple Favor,66.33,"Crime, Thriller, Mystery, Comedy",2018,Anna Kendrick,"
Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.
"
Can You Ever Forgive Me?,68.19,"Drama, Crime, Comedy",2018,Melissa McCarthy,"
When a bestselling celebrity biographer is no longer able to get published because she has fallen out of step with current tastes, she turns her art form to deception.
"
All the Money in the World,64.87,"Crime, History, Thriller",2017,Michelle Williams,"
The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.
"
Kwaidan,76.96,"Horror, Fantasy, Drama",1965,Michiyo Aratama,"
Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai marries for money with tragic results. A man stranded in a blizzard is saved by Yuki the Snow Maiden, but his rescue comes at a cost. Blind musician Hoichi is forced to perform for an audience of ghosts. An author relates the story of a samurai who sees another warrior's reflection in his teacup.
"
Malcolm & Marie,70.51,"Drama, Romance",2021,John David Washington,"
As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.
"
Twilight Zone: The Movie,65.0,"Horror, Fantasy, Science Fiction",1983,Dan Aykroyd,"
1959. Friday nights. We time-traveled. Witnessed surprising twists. Entertained aliens. Experienced fear. And first journeyed to ""The Twilight Zone"" of Rod Serling's memorable TV series. And guided by four imaginative moviemakers, we traveled there again in 1983. Directors John Landis, Steven Spielberg, Joe Dante and George Miller fashion stories based on or inspired by classic episodes. Landis weaves the tale of a bigot who gets a walloping dose of his own hatred. Spielberg takes over with a fable of senior citizens offered a magical rejuvenation. Dante serves up a terror trip with a child who uses his cartoon-inspired powers to enslave his family. Then fright goes aloft with Miller's finale about a neurotic passenger who sees a monster on the jetliner's wing. Or does he?
"
Double Indemnity,81.22999999999999,"Crime, Thriller",1944,Fred MacMurray,"
A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.
"
What Ever Happened to Baby Jane?,79.25,"Drama, Horror, Thriller",1962,Bette Davis,"
A former child star torments her paraplegic sister in their decaying Hollywood mansion.
"
The Jack in the Box,59.09,Horror,2019,Ethan Taylor,"
When a vintage Jack-in-the-box is un-earthed and opened, it's new owners soon have reason to believe the creepy clown doll within has a life of its own.
"
Digimon Adventure: Our War Game,82.0,"Adventure,",2000,Toshiko Fujita,"
A year after the events of the first season, a virus Digimon called Diaboromon appears and starts attacking the Internet. The children and their Digimon unite once more in order to prevent him from destroying every communications network on the planet.
"
Some Like It Rare,65.38,"Comedy, Horror",2021,Fabrice Eboué,"
Sophie and Vincent’s small butcher shop is on the brink of bankruptcy and their marriage is falling apart. Their lives are turned upside down when Vincent accidentally kills a vegan activist who vandalized their shop. Overwhelmed and terrified of being accused of murder, their only solution is to get rid of the body by turning it into ham. To their surprise the ham is so popular that it may save their business… that is if they’re ready to keep “hunting""!
"
Lars and the Real Girl,71.6,"Comedy, Drama, Romance",2007,Ryan Gosling,"
Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.
"
The Family Stone,63.07000000000001,"Comedy, Drama, Romance",2005,Dermot Mulroney,"
An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.
"
Wyatt Earp,67.64999999999999,"Western, Drama, Action, Adventure",1994,Kevin Costner,"
From Wichita to Dodge City, to the O.K. Corral in Tombstone, Wyatt Earp is taught that nothing matters more than family and the law. Joined by his brothers and Doc Holliday, Earp wages war on the dreaded Clanton and McLaury gangs.
"
Kill 'em All,51.23,"Action, Crime",2017,Jean-Claude Van Damme,"
After a massive shootout, a mysterious stranger arrives at a local hospital on the brink of death. Then, a foreign gang brazenly comes to the hospital to hunt him down. His nurse, the sole surviving witness to the follow-up shootout, must face an FBI interrogation that unlocks a plot of international intrigue and revenge.
"
Hellbound: Hellraiser II,63.86,"Horror, Thriller",1988,Ashley Laurence,"
Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.
"
MouseHunt,65.22,"Comedy, Family",1997,Nathan Lane,"
Down-on-their luck brothers, Lars and Ernie Smuntz, aren't happy with the crumbling old mansion they inherit... until they discover the estate is worth millions. Before they can cash in, they have to rid the house of its single, stubborn occupant—a tiny and tenacious mouse.
"
Cheaper by the Dozen,64.49,"Family, Comedy",2022,Gabrielle Union,"
This remake of the beloved classic follows the raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while simultaneously managing their family business.
"
Young Mother 2,60.91,"Drama, Romance",2014,Cha Soon-hyeong,"
Yeong-gil is in graduate class and is stressed about getting a job. To make things worse, he's not had any experience with women yet, so he's always searching for something in his dreams but wakes up to nothing. Then one day, there is a change in his life, he puts his hand in The Box of Pandora and gets a job although it wasn't a regular position. He sleeps with his female superior during the interview even though it's not how he imagined it. Then one day, he visits Joo-yeon's home and meets her beautiful mother. Can he keep himself from being seduced by this woman?
"
Winter's Tale,62.72,"Drama, Fantasy, Mystery, Romance",2014,Colin Farrell,"
A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.
"
13 Ghosts,57.0,Horror,1960,Charles Herbert,"
Reclusive Dr. Zorba has died and left his mansion to his nephew Cyrus and his family. They will need to search the house to find the doctor's fortune, but along with the property they have also inherited the occultist's collection of 13 ghosts.
"
The Shallows,63.5,"Horror, Drama, Thriller",2016,Blake Lively,"
When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.
"
An Extremely Goofy Movie,63.650000000000006,"Animation, Family, Comedy",2000,Bill Farmer,"
It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.
"
Righteous Kill,58.95,"Action, Crime, Drama, Thriller",2008,Robert De Niro,"
Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?
"
Piranha II: The Spawning,43.28,Horror,1982,Tricia O'Neil,"
A scuba diving instructor, her biochemist boyfriend, and her police chief ex-husband try to link a series of bizarre deaths to a mutant strain of piranha fish whose lair is a sunken freighter ship off a Caribbean island resort.
"
Hope Floats,62.93,"Romance, Drama, Comedy",1998,Sandra Bullock,"
Birdee Pruitt has been humiliated on live television by her best friend, Connie, who's been sleeping with Birdee's husband, Bill. Birdee tries starting over with her daughter, Bernice, by returning to her small Texas hometown, but she's faced with petty old acquaintances who are thrilled to see Birdee unhappy -- except for her friend Justin. As he helps Birdee get back on her feet, love begins to blossom.
"
Anon,59.400000000000006,Science Fiction,2018,Clive Owen,"
Set in a near-future world where there is no privacy, ignorance or anonymity, our private memories are recorded and crime almost ceases to exist. In trying to solve a series of unsolved murders, Sal Frieland stumbles onto a young woman who appears to have subverted the system and disappeared. She has no identity, no history and no record. Sal realizes it may not be the end of crime but the beginning. Known only as 'The Girl', Sal must find her before he becomes the next victim.
"
Pelé: Birth of a Legend,73.86,Drama,2016,Kevin de Paula,"
The life story of Brazilian football legend, Pele.
"
Immoral Tales,58.78,"Drama, Romance",1974,Lise Danvers,"
Four erotic tales from in various historical eras. The first, 'The Tide', is set in the present day, and concerns a student and his young female cousin stranded on the beach by the tide, secluded from prying eyes. 'Therese Philosophe' is set in the nineteenth century, and concerns a girl being locked in her bedroom, where she contemplates the erotic potential of the objects contained within it. 'Erzsebet Bathory' is a portrait of the sixteenth-century countess who allegedly bathed in the blood of virgins, while 'Lucrezia Borgia' concerns an incestuous fifteenth-century orgy involving Lucrezia, her brother, and her father the Pope.
"
Father Christmas Is Back,46.790000000000006,"Comedy, Family",2021,Nathalie Cox,"
Four sisters – Caroline, Joanna, Paulina, and Vicky – reunite for the Christmas Holiday in a Yorkshire mansion. However, their estranged father, James, joins in for the first time since he left the family behind decades prior. The group attempts to get through the holiday despite comedic misunderstandings, while also uncovering the long-buried secret that tore their family apart, so many years ago.
"
Pokémon Heroes,66.0,"Animation, Adventure, Action, Fantasy",2002,Rica Matsumoto,"
Ash, Pikachu and his friends try and stop a pair of thieves hiding out in the canals and alleyways of Altomare, the age-old water capital. Joining the adventure are two new legendary Pokémon, a pair of siblings named Latias and Latios, who serve as peacekeepers and protectors of the Soul Dew - a priceless treasure with a mysterious power.
"
Los Habitantes,68.0,,2023,Jorge Luis Moreno,"
We don't have an overview translated in English. Help us expand our database by adding one.
"
